"Date","Price","Open","High","Low","Vol.","Change %"
"2025/04/07","2,982.54","3,038.02","3,055.88","2,956.60","","-1.80%"
"2025/04/04","3,037.36","3,113.16","3,137.10","3,015.64","","-2.42%"
"2025/04/03","3,112.83","3,134.16","3,168.04","3,054.19","","-0.66%"
"2025/04/02","3,133.57","3,111.00","3,140.36","3,104.81","","0.74%"
"2025/04/01","3,110.55","3,123.36","3,149.11","3,100.85","","-0.40%"
"2025/03/31","3,123.05","3,086.54","3,128.29","3,076.62","","1.27%"
"2025/03/28","3,084.03","3,056.35","3,086.93","3,053.91","","0.91%"
"2025/03/27","3,056.10","3,019.56","3,059.75","3,017.26","","1.22%"
"2025/03/26","3,019.29","3,020.13","3,032.23","3,012.38","","-0.02%"
"2025/03/25","3,019.85","3,012.40","3,035.94","3,007.53","","0.25%"
"2025/03/24","3,012.27","3,023.03","3,033.44","3,002.34","","-0.38%"
"2025/03/21","3,023.63","3,042.60","3,047.66","2,999.46","","-0.68%"
"2025/03/20","3,044.41","3,046.31","3,057.51","3,025.56","","-0.09%"
"2025/03/19","3,047.18","3,032.20","3,052.30","3,022.73","","0.44%"
"2025/03/18","3,033.95","2,999.11","3,038.45","2,999.11","","1.08%"
"2025/03/17","3,001.47","2,985.80","3,002.23","2,982.13","","0.57%"
"2025/03/14","2,984.42","2,988.38","3,005.08","2,978.41","","-0.11%"
"2025/03/13","2,987.75","2,932.66","2,989.64","2,932.03","","1.90%"
"2025/03/12","2,932.06","2,916.85","2,940.83","2,906.19","","0.55%"
"2025/03/11","2,916.04","2,888.72","2,922.22","2,880.34","","0.92%"
"2025/03/10","2,889.40","2,912.17","2,918.50","2,880.30","","-0.73%"
"2025/03/07","2,910.79","2,910.48","2,930.56","2,896.71","","0.03%"
"2025/03/06","2,909.99","2,918.98","2,926.88","2,891.34","","-0.30%"
"2025/03/05","2,918.84","2,917.59","2,929.94","2,894.19","","0.05%"
"2025/03/04","2,917.49","2,894.05","2,928.15","2,881.81","","0.82%"
"2025/03/03","2,893.71","2,856.71","2,895.45","2,855.63","","1.23%"
"2025/02/28","2,858.60","2,877.66","2,885.34","2,832.63","","-0.61%"
"2025/02/27","2,876.19","2,916.80","2,920.96","2,867.86","","-1.37%"
"2025/02/26","2,916.19","2,915.42","2,930.22","2,890.99","","0.04%"
"2025/02/25","2,915.12","2,951.82","2,954.44","2,888.06","","-1.22%"
"2025/02/24","2,951.19","2,936.41","2,956.37","2,920.77","","0.52%"
"2025/02/21","2,936.03","2,939.00","2,950.01","2,916.70","","-0.09%"
"2025/02/20","2,938.70","2,932.81","2,954.97","2,924.20","","0.21%"
"2025/02/19","2,932.64","2,935.73","2,947.23","2,918.50","","-0.10%"
